Mandal,Sl No,Village
Nizamabad,1,Nizamabad
Armur,1,Alur
Armur,2,Amdapur
Armur,3,Ankapur
Armur,4,Armur (M + OG)
Armur,5,Bardipur
Armur,6,Chepur
Armur,7,Degaon
Armur,8,Fathepur
Armur,9,Gaggupalle
Armur,10,Govindpet
Armur,11,Issapalle
Armur,12,Khanapur
Armur,13,Komanpalle
Armur,14,Kotha Armur
Armur,15,Macherla
Armur,16,Magdi
Armur,17,Mamidipalle (OG)
Armur,18,Manthani
Armur,19,Merdepalle
Armur,20,Perkit (OG)
Armur,21,Pipri
Armur,22,Rampur
Armur,23,Surbiriyal
Balkonda,1,Balkonda
Balkonda,2,Bodepalle
Balkonda,3,Bussapur
Balkonda,4,Chakeriyal
Balkonda,5,Chittapur
Balkonda,6,Doodgaon
Balkonda,7,Jalalpur
Balkonda,8,Keshapur
Balkonda,9,Kisannagar
Balkonda,10,Kodecherla
Balkonda,11,Kojan Kothur
Balkonda,12,Kothapalle
Balkonda,13,Mendora
Balkonda,14,Mukpal
Balkonda,15,Nagampet
Balkonda,16,Nagapur
Balkonda,17,Nallur
Balkonda,18,Ratnapur
Balkonda,19,Renjarla
Balkonda,20,Sangam
Balkonda,21,Savel
Balkonda,22,Soanpet (CT)
Balkonda,23,Vannel Bashirabad
Balkonda,24,Velgatur
Balkonda,25,Vempalle
Balkonda,26,Venchariyal
Bheemgal,1,Babanagar
Bheemgal,2,Babapur
Bheemgal,3,Bachanpalle
Bheemgal,4,Bejjora
Bheemgal,5,Bheemgal
Bheemgal,6,Changal
Bheemgal,7,Devakkapet
Bheemgal,8,Devan Palle
Bheemgal,9,Gangarai
Bheemgal,10,Gongappul
Bheemgal,11,Jagriyal
Bheemgal,12,Karepalle
Bheemgal,13,Kupkal
Bheemgal,14,Lingapurchouth
Bheemgal,15,Mendhora
Bheemgal,16,Muchkur
Bheemgal,17,Pallikonda
Bheemgal,18,Pedda Bheemgal
Bheemgal,19,Pipri
Bheemgal,20,Puranipet
Bheemgal,21,Rahathnagar
Bheemgal,22,Salampur
Bheemgal,23,Sikandrapur
Bheemgal,24,Thallapalle
Mortad,1,Battapur
Mortad,2,Dharmora
Mortad,3,Domchanda
Mortad,4,Donkal
Mortad,5,Donpal
Mortad,6,Gumeriyal
Mortad,7,Mortad
Mortad,8,Palem
Mortad,9,Ramannapet
Mortad,10,Shetpalle
Mortad,11,Sunkat
Mortad,12,Tadla Rampur
Mortad,13,Tadpakal
Mortad,14,Thimmapur
Mortad,15,Thurat
Mortad,16,Vaddiyat
Mortad,17,Yergatla
Kammarpalle,1,Basheerabad
Kammarpalle,2,Belur
Kammarpalle,3,Choutupalle
Kammarpalle,4,Dammannapet
Kammarpalle,5,Dammanpet (Ameernagar)
Kammarpalle,6,Gudilingapur
Kammarpalle,7,Guntepalle
Kammarpalle,8,Hasakothur
Kammarpalle,9,Inayat Nagar
Kammarpalle,10,Kammar Palle
Kammarpalle,11,Konapur
Kammarpalle,12,Konasamandar
Kammarpalle,13,Lakshmapur
Kammarpalle,14,Manal
Kammarpalle,15,Nagapur
Kammarpalle,16,Narsapur
Kammarpalle,17,Reachpalle
Kammarpalle,18,Uploor
Mupkal,1,Mupkal
Mupkal,2,Nalloor
Mupkal,3,Renjarla
Mupkal,4,Vempally
Mupkal,5,Kothapalli
Mupkal,6,Nagampet
Mupkal,7,Venchiryal
